en,ru-RU,zh-CN,zh-TW,ja,ko,fr
Use IPv6 resolvers,Использовать IPv6-резолверы,使用 IPv6 解析器,使用 IPv6 解析器,IPv6 リゾルバーを使用,IPv6 리졸버 사용,Utiliser les résolveurs IPv6
Route DNSCrypt through Shadowsocks,Направлять DNSCrypt через Shadowsocks,通过 Shadowsocks 路由 DNSCrypt,透過 Shadowsocks 路由 DNSCrypt,DNSCrypt を Shadowsocks 経由でルーティング,Shadowsocks를 통해 DNSCrypt 라우팅,Acheminer DNSCrypt via Shadowsocks
DNSCrypt operation,Операция DNSCrypt,DNSCrypt 操作,DNSCrypt 操作,DNSCrypt 操作,DNSCrypt 작업,Opération DNSCrypt
Ready,Готово,就绪,就緒,準備完了,준비됨,Prêt
Checking latest version,Проверка последней версии,正在检查最新版本,正在檢查最新版本,最新バージョンを確認中,최신 버전 확인 중,Vérification de la dernière version
Downloading DNSCrypt Proxy,Загрузка DNSCrypt Proxy,正在下载 DNSCrypt Proxy,正在下載 DNSCrypt Proxy,DNSCrypt Proxy をダウンロード中,DNSCrypt Proxy 다운로드 중,Téléchargement de DNSCrypt Proxy
Downloading signature,Загрузка подписи,正在下载签名,正在下載簽章,署名をダウンロード中,서명 다운로드 중,Téléchargement de la signature
Verifying signature,Проверка подписи,正在验证签名,正在驗證簽章,署名を検証中,서명 검증 중,Vérification de la signature
Installing,Установка,正在安装,正在安裝,インストール中,설치 중,Installation
Prepared,Подготовлено,已准备,已準備,準備済み,준비됨,Préparé
Validating DNSCrypt runtime,Проверка runtime DNSCrypt,正在验证 DNSCrypt 运行时,正在驗證 DNSCrypt 執行階段,DNSCrypt ランタイムを検証中,DNSCrypt 런타임 검증 중,Validation du runtime DNSCrypt
Activating,Активация,正在激活,正在啟用,有効化中,활성화 중,Activation
Starting DNSCrypt,Запуск DNSCrypt,正在启动 DNSCrypt,正在啟動 DNSCrypt,DNSCrypt を起動中,DNSCrypt 시작 중,Démarrage de DNSCrypt
Removing,Удаление,正在删除,正在移除,削除中,제거 중,Suppression
Starting,Запускается,正在启动,正在啟動,起動中,시작 중,Démarrage
Updating,Обновляется,正在更新,正在更新,更新中,업데이트 중,Mise à jour
Failed,Ошибка,失败,失敗,失敗,실패,Échec
DNSCrypt Proxy is not installed.,DNSCrypt Proxy не установлен.,DNSCrypt Proxy 未安装。,DNSCrypt Proxy 未安裝。,DNSCrypt Proxy はインストールされていません。,DNSCrypt Proxy가 설치되지 않았습니다.,DNSCrypt Proxy n’est pas installé.
Shadowsocks can download and verify the official Windows x64 release from DNSCrypt/dnscrypt-proxy.,Shadowsocks может скачать и проверить официальный релиз Windows x64 из DNSCrypt/dnscrypt-proxy.,Shadowsocks 可以从 DNSCrypt/dnscrypt-proxy 下载并验证官方 Windows x64 版本。,Shadowsocks 可以從 DNSCrypt/dnscrypt-proxy 下載並驗證官方 Windows x64 版本。,Shadowsocks は DNSCrypt/dnscrypt-proxy から公式 Windows x64 リリースをダウンロードして検証できます。,Shadowsocks는 DNSCrypt/dnscrypt-proxy에서 공식 Windows x64 릴리스를 다운로드하고 검증할 수 있습니다.,Shadowsocks peut télécharger et vérifier la version Windows x64 officielle depuis DNSCrypt/dnscrypt-proxy.
Download and enable,Скачать и включить,下载并启用,下載並啟用,ダウンロードして有効化,다운로드 및 활성화,Télécharger et activer
DNS mode will switch to System DNS and the downloaded DNSCrypt component will be removed.,"Режим DNS переключится на системный DNS, а загруженный компонент DNSCrypt будет удалён.",DNS 模式将切换为系统 DNS，并删除已下载的 DNSCrypt 组件。,DNS 模式將切換為系統 DNS，並移除已下載的 DNSCrypt 元件。,DNS モードをシステム DNS に切り替え、ダウンロード済み DNSCrypt コンポーネントを削除します。,DNS 모드가 시스템 DNS로 전환되고 다운로드한 DNSCrypt 구성 요소가 제거됩니다.,Le mode DNS passera au DNS système et le composant DNSCrypt téléchargé sera supprimé.
DNSCrypt operation failed. See Logs for details.,Операция DNSCrypt завершилась ошибкой. Подробности в журнале.,DNSCrypt 操作失败。详情请查看日志。,DNSCrypt 操作失敗。詳情請查看記錄。,DNSCrypt 操作に失敗しました。詳細はログを確認してください。,DNSCrypt 작업이 실패했습니다. 자세한 내용은 로그를 확인하세요.,L’opération DNSCrypt a échoué. Consultez les journaux pour plus de détails.
Operation cancelled.,Операция отменена.,操作已取消。,操作已取消。,操作をキャンセルしました。,작업이 취소되었습니다.,Opération annulée.
DNSCrypt Proxy installed.,DNSCrypt Proxy установлен.,DNSCrypt Proxy 已安装。,DNSCrypt Proxy 已安裝。,DNSCrypt Proxy をインストールしました。,DNSCrypt Proxy가 설치되었습니다.,DNSCrypt Proxy installé.
DNSCrypt Proxy updated.,DNSCrypt Proxy обновлён.,DNSCrypt Proxy 已更新。,DNSCrypt Proxy 已更新。,DNSCrypt Proxy を更新しました。,DNSCrypt Proxy가 업데이트되었습니다.,DNSCrypt Proxy mis à jour.
DNSCrypt Proxy restarted.,DNSCrypt Proxy перезапущен.,DNSCrypt Proxy 已重启。,DNSCrypt Proxy 已重新啟動。,DNSCrypt Proxy を再起動しました。,DNSCrypt Proxy가 다시 시작되었습니다.,DNSCrypt Proxy redémarré.
DNSCrypt Proxy reinstalled.,DNSCrypt Proxy переустановлен.,DNSCrypt Proxy 已重新安装。,DNSCrypt Proxy 已重新安裝。,DNSCrypt Proxy を再インストールしました。,DNSCrypt Proxy가 재설치되었습니다.,DNSCrypt Proxy réinstallé.
DNSCrypt Proxy removed.,DNSCrypt Proxy удалён.,DNSCrypt Proxy 已删除。,DNSCrypt Proxy 已移除。,DNSCrypt Proxy を削除しました。,DNSCrypt Proxy가 제거되었습니다.,DNSCrypt Proxy supprimé.
System DNS enabled.,Системный DNS включён.,已启用系统 DNS。,已啟用系統 DNS。,システム DNS を有効にしました。,시스템 DNS가 활성화되었습니다.,DNS système activé.
DNSCrypt mode selected; runtime is running.,Выбран режим DNSCrypt; runtime запущен.,已选择 DNSCrypt 模式；运行时正在运行。,已選擇 DNSCrypt 模式；執行階段正在執行。,DNSCrypt モードを選択し、ランタイムを起動しました。,DNSCrypt 모드가 선택되었고 런타임이 실행 중입니다.,Mode DNSCrypt sélectionné ; le runtime est actif.
DNSCrypt Proxy is up to date.,DNSCrypt Proxy уже обновлён до последней версии.,DNSCrypt Proxy 已是最新版本。,DNSCrypt Proxy 已是最新版本。,DNSCrypt Proxy は最新です。,DNSCrypt Proxy가 최신 상태입니다.,DNSCrypt Proxy est à jour.
DNSCrypt Proxy {0} is available.,Доступна версия DNSCrypt Proxy {0}.,DNSCrypt Proxy {0} 可用。,DNSCrypt Proxy {0} 可用。,DNSCrypt Proxy {0} が利用可能です。,DNSCrypt Proxy {0}을 사용할 수 있습니다.,DNSCrypt Proxy {0} est disponible.
Failed: {0},Ошибка: {0},失败：{0},失敗：{0},失敗: {0},실패: {0},Échec : {0}
DNS Settings,Настройки DNS,DNS 设置,DNS 設定,DNS 設定,DNS 설정,Paramètres DNS
DNSCrypt: Not installed,DNSCrypt: не установлен,DNSCrypt：未安装,DNSCrypt：未安裝,DNSCrypt: 未インストール,DNSCrypt: 설치되지 않음,DNSCrypt : non installé
DNSCrypt: Running · {0},DNSCrypt: работает · {0},DNSCrypt：运行中 · {0},DNSCrypt：執行中 · {0},DNSCrypt: 実行中 · {0},DNSCrypt: 실행 중 · {0},DNSCrypt : actif · {0}
DNSCrypt: Stopped · {0},DNSCrypt: остановлен · {0},DNSCrypt：已停止 · {0},DNSCrypt：已停止 · {0},DNSCrypt: 停止 · {0},DNSCrypt: 중지됨 · {0},DNSCrypt : arrêté · {0}
